접수번호,법인구분,고유번호,회사명,이사회결의일(결정일),사외이사 참석여부(참석),사외이사 참석여부(불참),감사(감사위원)참석 여부,신주의 종류와 수(보통주식),신주의 종류와 수(기타주식),1주당 액면가액,증자전 발행주식총수(보통주식),증자전 발행주식총수(기타주식),신주배정기준일,1주당 신주배정 주식수(보통주식),1주당 신주배정 주식수(기타주식),신주의 배당기산일,신주권교부예정일,신주의 상장 예정일,#N/A
rcept_no,corp_cls,corp_code,corp_name,bddd,od_a_at_t,od_a_at_b,adt_a_atn,nstk_ostk_cnt,nstk_estk_cnt,fv_ps,bfic_tisstk_ostk,bfic_tisstk_estk,nstk_asstd,nstk_ascnt_ps_ostk,nstk_ascnt_ps_estk,nstk_dividrk,nstk_dlprd,nstk_lstprd,회사명
2.01511E+13,K,498001,모베이스,2015년 11월 27일,1,1,불참,"2,592,000",-,500,"12,960,000",-,2015년 12월 12일,0.200664,-,2015년 01월 01일,2016년 01월 04일,2016년 01월 05일,모베이스
2.02212E+13,K,1047840,미스터블루,2022년 12월 05일,1,1,참석,"49,783,490",-,100,"24,891,745",-,2022년 12월 20일,2,-,2022년 01월 01일,-,2023년 01월 10일,미스터블루
2.02402E+13,K,1117413,바이오다인,2024년 02월 14일,-,1,불참,"23,581,408",-,500,"6,182,695",-,2024년 02월 29일,4,-,2024년 01월 01일,-,2024년 03월 22일,바이오다인
2.02205E+13,K,1335790,바이젠셀,2022년 05월 25일,3,0,참석,"9,503,030",-,500,"9,503,030",-,2022년 06월 09일,1,-,2022년 01월 01일,-,2022년 06월 30일,바이젠셀
2.02108E+13,K,1391103,브랜드엑스코퍼레이션,2021년 08월 17일,2,-,참석,"9,837,585",-,500,"19,734,831",-,2021년 09월 01일,0.5,-,2021년 01월 01일,-,2021년 09월 23일,브랜드엑스코퍼레이션
2.01905E+13,K,1027794,브이원텍,2019년 05월 20일,1,-,참석,"7,525,290",-,500,"7,525,290",-,2019년 06월 05일,1,-,2019년 01월 01일,2019년 06월 24일,2019년 06월 25일,브이원텍
2.01903E+13,K,125938,삼보판지,2019년 03월 11일,1,1,참석,"1,470,000",-,500,"14,700,000",-,2019년 03월 29일,0.1003501,-,2019년 01월 01일,2019년 04월 23일,2019년 04월 24일,삼보판지
2.01803E+13,K,125938,삼보판지,2018년 03월 07일,1,1,참석,"700,000",-,500,"14,000,000",-,2018년 03월 29일,0.0501814,-,2018년 01월 01일,2018년 04월 23일,2018년 04월 24일,삼보판지
2.02312E+13,K,605522,소룩스,2023년 12월 07일,2,-,참석,"136,724,700",-,100,"9,766,050",-,2023년 12월 27일,14,-,2023년 01월 01일,-,2024년 01월 26일,소룩스
2.0211E+13,K,1050738,솔트룩스,2021년 10월 08일,5,-,참석,"5,100,665",-,500,"5,100,665",-,2021년 10월 25일,1,-,2021년 01월 01일,-,2021년 11월 11일,솔트룩스
2.02212E+13,K,1046203,스튜디오산타클로스,2022년 11월 22일,1,0,불참,"54,204,380",-,500,"10,850,308",-,2022년 12월 16일,5,-,2022년 01월 01일,-,2023년 01월 09일,스튜디오산타클로스
2.02204E+13,K,961570,신도기연,2022년 04월 27일,1,-,참석,"7,868,082",-,500,"8,061,280",-,2022년 05월 12일,1,-,2022년 01월 01일,-,2022년 06월 02일,신도기연
2.02208E+13,K,577380,신진에스엠,2022년 07월 14일,-,1,불참,"8,531,021",-,500,"8,972,183",-,2022년 08월 09일,1,-,2022년 01월 01일,-,2022년 09월 01일,신진에스엠
2.02101E+13,K,1080687,아우딘퓨쳐스,2021년 01월 07일,1,0,참석,"10,000,000",-,500,"10,000,000",-,2021년 02월 01일,1.0135409,-,2021년 01월 01일,-,2021년 02월 19일,아우딘퓨쳐스
2.01711E+13,K,1080687,아우딘퓨쳐스,2017년 11월 07일,1,0,참석,"4,074,810",-,500,"5,925,190",-,2017년 11월 22일,0.7034874,-,2017년 01월 01일,2017년 12월 13일,2017년 12월 14일,아우딘퓨쳐스
2.02402E+13,K,692254,아이패밀리에스씨,2024년 02월 14일,2,0,참석,"8,600,972",-,500,"8,600,972",-,2024년 02월 29일,1,-,2024년 01월 01일,-,2024년 03월 21일,아이패밀리에스씨
2.02205E+13,K,692254,아이패밀리에스씨,2022년 05월 23일,2,0,참석,"4,250,774",-,500,"4,250,774",-,2022년 06월 07일,1,-,2022년 01월 01일,-,2022년 06월 29일,아이패밀리에스씨
2.01611E+13,K,309831,알에프텍,2016년 11월 28일,1,-,참석,"6,350,000",-,500,"12,700,000",-,2016년 12월 13일,0.5,-,2016년 01월 01일,2016년 12월 30일,2017년 01월 02일,알에프텍
2.02007E+13,K,991191,앱클론,2020년 07월 01일,1,-,불참,"7,196,000","394,608",500,"7,196,000","394,608",2020년 07월 17일,1,1,2020년 01월 01일,2020년 08월 05일,2020년 08월 05일,앱클론
2.0161E+13,K,657002,에이디테크놀로지,2016년 10월 28일,0,1,불참,"4,010,505",-,500,"4,136,195",-,2016년 11월 14일,1,-,2016년 01월 01일,2016년 11월 28일,2016년 11월 29일,에이디테크놀로지
2.0231E+13,K,1375822,에이프릴바이오,2023년 10월 17일,2,-,참석,"10,711,195",-,"1,000","10,711,195",-,2023년 11월 01일,1,-,2023년 01월 01일,-,2023년 11월 20일,에이프릴바이오
2.02306E+13,K,1231786,엑스페릭스,2023년 06월 09일,2,-,참석,"18,324,120",-,500,"3,054,020",-,2023년 06월 26일,6,-,2023년 01월 01일,-,2023년 07월 21일,엑스페릭스
2.01804E+13,K,121154,엠에스씨,2018년 04월 02일,1,-,참석,"8,800,000",-,500,"8,800,000",-,2018년 04월 18일,1,-,2018년 01월 01일,2018년 05월 08일,2018년 05월 09일,엠에스씨
2.02105E+13,K,362858,예스24,2021년 05월 12일,3,0,참석,"7,800,000",-,500,"17,200,000",-,2021년 05월 31일,0.453488373,-,2021년 01월 01일,-,2021년 06월 23일,예스24
2.02006E+13,K,1082348,오스테오닉,2020년 06월 09일,-,-,참석,"4,158,585",-,500,"8,458,466",-,2020년 06월 25일,0.5,-,2020년 01월 01일,-,2020년 07월 15일,오스테오닉
2.02012E+13,K,867849,오파스넷,2020년 12월 15일,1,0,참석,"7,834,528",-,500,"4,025,902",-,2021년 01월 01일,2,-,2021년 01월 01일,-,2021년 01월 21일,오파스넷
2.02204E+13,K,1215618,와이엠텍,2022년 04월 11일,-,1,참석,"5,483,000",-,500,"5,483,000",-,2022년 04월 27일,1,-,2022년 01월 01일,-,2022년 05월 18일,와이엠텍
2.02104E+13,K,323868,웹케시,2021년 04월 19일,2,-,참석,"6,606,100",-,500,"6,763,655",-,2021년 05월 06일,1,-,2021년 01월 01일,-,2021년 06월 03일,웹케시
2.01703E+13,K,531865,유니테크노,2017년 03월 03일,1,1,참석,"5,963,760",-,500,"5,963,760",-,2017년 03월 20일,1,-,2017년 01월 01일,2017년 04월 06일,2017년 04월 07일,유니테크노
2.02101E+13,K,531865,유니테크노,2021년 01월 11일,1,-,참석,"11,678,070",-,500,"11,927,520",-,2021년 01월 26일,1,-,2021년 01월 01일,-,2021년 02월 10일,유니테크노
2.02011E+13,K,1203376,유비쿼스,2020년 11월 20일,3,-,참석,"5,121,751",-,500,"5,123,955",-,2020년 12월 07일,1,-,2020년 01월 01일,-,2020년 12월 28일,유비쿼스
2.02007E+13,K,1110678,유틸렉스,2020년 07월 03일,2,0,불참,"7,460,234",-,500,"7,460,234",-,2020년 07월 20일,1,-,2020년 01월 01일,-,2020년 08월 07일,유틸렉스
2.0161E+13,K,226866,인탑스,2016년 10월 25일,3,-,참석,"8,600,000",-,500,"8,600,000",-,2016년 11월 14일,1,-,2016년 01월 01일,2016년 12월 05일,2016년 12월 06일,인탑스
2.02109E+13,K,899556,제룡산업,2021년 09월 03일,-,-,참석,"10,000,000",-,500,"10,000,000",-,2021년 09월 24일,1,-,2021년 01월 01일,-,2021년 10월 15일,제룡산업
2.01606E+13,K,899556,제룡산업,2016년 06월 17일,-,-,참석,"2,067,680",-,500,"7,932,320",-,2016년 07월 05일,0.2606831,-,2016년 01월 01일,2016년 07월 25일,2016년 07월 26일,제룡산업
2.0171E+13,K,1108248,지노믹트리,2017년 10월 25일,1,-,참석,"5,172,706",-,500,"2,586,353",-,2017년 11월 10일,2,-,2017년 01월 01일,2017년 11월 29일,2017년 11월 30일,지노믹트리
2.01808E+13,K,1108248,지노믹트리,2018년 08월 31일,1,-,참석,"7,974,589",-,500,"7,974,589",-,2018년 09월 17일,1,-,2018년 01월 01일,2018년 10월 10일,2018년 10월 11일,지노믹트리
2.01806E+13,K,962223,지니언스,2018년 06월 21일,-,-,참석,"4,589,700",-,500,"4,854,900",-,2018년 07월 06일,1,-,2018년 01월 01일,2018년 07월 23일,2018년 07월 24일,지니언스
2.02312E+13,K,1228515,지오릿에너지,2023년 10월 30일,2,-,-,"83,525,012",-,100,"41,762,506",-,2023년 11월 14일,2,-,2023년 01월 01일,-,2023년 12월 11일,지오릿에너지
2.01908E+13,K,1031229,지티지웰니스,2019년 08월 13일,1,-,참석,"6,066,199",-,500,"6,250,067",-,2019년 08월 28일,1,-,2019년 01월 01일,2019년 09월 20일,2019년 09월 23일,지티지웰니스
2.01801E+13,K,1031229,지티지웰니스,2018년 01월 18일,-,-,참석,"2,859,550",-,500,"1,787,219",-,2018년 02월 02일,1.6,-,2018년 01월 01일,2018년 02월 26일,2018년 02월 27일,지티지웰니스
2.02101E+13,K,260879,카페24,2021년 01월 13일,1,1,참석,"9,404,136",-,500,"9,430,597",-,2021년 01월 29일,1,-,2021년 01월 01일,-,2021년 02월 22일,카페24
2.02005E+13,K,1037214,케이피에스,2020년 05월 06일,-,-,참석,"10,142,392",-,500,"5,071,196",-,2020년 05월 21일,2,-,2020년 01월 01일,-,2020년 06월 10일,케이피에스
2.02107E+13,K,985686,큐브엔터,2021년 07월 08일,2,0,참석,"6,900,920",-,500,"6,903,767",-,2021년 07월 23일,1,-,2021년 01월 01일,-,2021년 08월 12일,큐브엔터
2.01607E+13,K,608802,텔콘RF제약,2016년 06월 23일,1,-,불참,"5,303,690",-,500,"5,303,690",-,2016년 07월 12일,1,-,2016년 01월 01일,2016년 07월 28일,2016년 07월 29일,텔콘RF제약
2.01605E+13,K,531917,톱텍,2016년 05월 26일,1,1,참석,"17,512,913",-,500,"17,512,913",-,2016년 06월 13일,1,-,2016년 01월 01일,2016년 07월 13일,2016년 07월 14일,톱텍
2.01512E+13,K,537832,푸른기술,2015년 12월 17일,2,-,참석,"1,555,262",-,500,"4,085,915",-,2016년 01월 01일,0.5,-,2016년 01월 01일,2016년 01월 21일,2016년 01월 22일,푸른기술
2.02101E+13,K,537832,푸른기술,2021년 01월 26일,2,0,참석,"1,787,184",-,500,"6,574,202",-,2021년 02월 17일,0.3,-,2021년 01월 01일,2021년 03월 08일,2021년 03월 09일,푸른기술
2.01702E+13,K,537832,푸른기술,2017년 02월 13일,2,0,참석,"933,025",-,500,"5,641,177",-,2017년 03월 01일,0.2,-,2017년 01월 01일,2017년 03월 22일,2017년 03월 23일,푸른기술
2.01812E+13,K,356389,프럼파스트,2018년 12월 11일,-,-,참석,"884,473",-,500,"8,846,117",-,2019년 01월 01일,0.1,-,2019년 01월 01일,2019년 01월 17일,2019년 01월 18일,프럼파스트
2.01512E+13,K,356389,프럼파스트,2015년 12월 08일,2,0,불참,"1,176,264",-,500,"6,160,000",-,2016년 01월 01일,0.2,-,2016년 01월 01일,2016년 01월 18일,2016년 01월 19일,프럼파스트
2.01612E+13,K,356389,프럼파스트,2016년 12월 14일,2,0,참석,"705,729",-,500,"7,336,264",-,2017년 01월 01일,0.1,-,2017년 01월 01일,2017년 01월 18일,2017년 01월 19일,프럼파스트
2.01712E+13,K,356389,프럼파스트,2017년 12월 08일,-,-,참석,"804,124",-,500,"8,041,993",-,2018년 01월 01일,0.1,-,2018년 01월 01일,2018년 01월 18일,2018년 01월 19일,프럼파스트
2.01906E+13,K,325112,프로텍,2019년 06월 20일,1,-,참석,"681,639",-,500,"10,318,361",-,2019년 07월 08일,0.07046543,-,2019년 01월 01일,2019년 07월 31일,2019년 08월 01일,프로텍
2.02402E+13,K,1217865,프롬바이오,2024년 02월 28일,3,-,참석,"14,155,000",-,100,"14,155,000",-,2024년 03월 14일,1,-,2024년 01월 01일,-,2024년 04월 05일,프롬바이오
2.01809E+13,K,155735,피제이전자,2018년 09월 05일,-,1,참석,"5,000,000",-,500,"10,000,000",-,2018년 09월 21일,0.5,-,2018년 01월 01일,2018년 10월 18일,2018년 10월 19일,피제이전자
2.02012E+13,K,625942,한솔아이원스,2020년 12월 09일,1,3,-,"12,087,255",-,500,"13,415,919",-,2021년 01월 01일,1,-,2021년 01월 01일,-,2021년 01월 22일,한솔아이원스
2.02109E+13,K,453442,해성에어로보틱스,2021년 09월 28일,1,-,참석,"4,630,000",-,500,"4,630,000",-,2021년 10월 13일,1,-,2021년 01월 01일,-,2021년 11월 04일,해성에어로보틱스
2.01504E+13,K,164502,현대공업,2015년 04월 07일,1,-,참석,"5,025,000",-,500,"10,050,000",-,2015년 04월 24일,0.5,-,2015년 01월 01일,2015년 05월 21일,2015년 05월 22일,현대공업
2.01906E+13,K,1251577,휴네시온,2019년 06월 12일,1,-,참석,"4,803,836",-,500,"4,803,836",-,2019년 07월 01일,1,-,2019년 01월 01일,2019년 07월 30일,2019년 07월 31일,휴네시온
2.01501E+13,K,623184,휴림네트웍스,2015년 01월 22일,1,-,참석,"1,203,400",-,500,"2,406,800",-,2015년 02월 10일,0.5,-,2015년 01월 01일,2015년 02월 26일,2015년 02월 27일,휴림네트웍스
2.01708E+13,K,623184,휴림네트웍스,2017년 08월 07일,0,1,-,"18,326,850",-,500,"6,108,950",-,2017년 09월 01일,3,-,2017년 01월 01일,2017년 09월 21일,2017년 09월 22일,휴림네트웍스
2.01811E+13,Y,1205842,HD현대건설기계,2018년 11월 02일,2,1,참석,"9,824,498",-,"5,000","9,876,295",-,2018년 11월 20일,1,-,2018년 01월 01일,2018년 12월 17일,2018년 12월 18일,HD현대건설기계
2.01811E+13,Y,164609,HD현대미포,2018년 11월 14일,2,1,참석,"19,942,149",-,"5,000","20,000,000",-,2018년 12월 05일,1,-,2018년 01월 01일,2018년 12월 24일,2018년 12월 26일,HD현대미포
2.0201E+13,Y,1319899,SK바이오사이언스,2020년 10월 05일,-,-,참석,"4,080,000",-,"5,000","2,040,000",-,2020년 10월 20일,2,-,2019년 12월 31일,2020년 10월 27일,-,SK바이오사이언스
2.02104E+13,Y,545716,롯데렌탈,2021년 04월 15일,1,1,참석,"17,653,800",-,"5,000","11,769,200",-,2021년 05월 17일,1.5,-,2020년 12월 31일,-,-,롯데렌탈
2.01706E+13,Y,447609,비에이치,2017년 06월 07일,1,-,참석,"15,634,888",-,500,"15,634,888",-,2017년 06월 22일,1,-,2017년 01월 01일,2017년 07월 13일,2017년 07월 14일,비에이치
